Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_373,5040,0,1
graph_1019,5040,0,1
graph_1018,5040,0,1
graph_440,5040,0,1
graph_626,5040,0,1
graph_627,5040,0,1
graph_441,5040,0,1
graph_835,5040,0,1
graph_834,5040,0,1
graph_397,5040,0,1
graph_396,5040,0,1
graph_759,5040,0,1
graph_758,5040,0,1
graph_163,5040,0,1
graph_305,5040,0,1
graph_304,5040,0,1
graph_162,5040,0,1
graph_651,5040,0,1
graph_73,5040,0,1
graph_437,5040,0,1
graph_72,5040,0,1
graph_436,5040,0,1
graph_650,5040,0,1
graph_576,5040,0,1
graph_710,5040,0,1
graph_711,5040,0,1
graph_577,5040,0,1
graph_244,5040,0,1
graph_245,5040,0,1
graph_618,5040,0,1
graph_619,5040,0,1
graph_1027,5040,0,1
graph_1026,5040,0,1
graph_974,5040,0,1
graph_782,5040,0,1
graph_783,5040,0,1
graph_975,5040,0,1
graph_1013,5040,0,1
graph_1012,5040,0,1
graph_378,5040,0,1
graph_379,5040,0,1
graph_940,5040,0,1
graph_941,5040,0,1
graph_542,5040,0,1
graph_724,5040,0,1
graph_725,5040,0,1
graph_543,5040,0,1
graph_270,5040,0,1
graph_271,5040,0,1
graph_848,5040,0,1
graph_849,5040,0,1
graph_909,5040,0,1
graph_599,5040,0,1
graph_908,5040,0,1
graph_598,5040,0,1
graph_157,5040,0,1
graph_331,5040,0,1
graph_330,5040,0,1
graph_156,5040,0,1
graph_665,5040,0,1
graph_893,2520,2520,2
graph_403,5040,0,1
graph_47,5040,0,1
graph_892,5040,0,1
graph_402,5040,0,1
graph_46,5040,0,1
graph_664,5040,0,1
graph_491,5040,0,1
graph_801,5040,0,1
graph_490,5040,0,1
graph_800,5040,0,1
graph_239,5040,0,1
graph_238,5040,0,1
graph_788,5040,0,1
graph_789,2520,2520,2
graph_346,5040,0,1
graph_120,5040,0,1
graph_121,5040,0,1
graph_347,5040,0,1
graph_474,5040,0,1
graph_30,5040,0,1
graph_612,5040,0,1
graph_613,5040,0,1
graph_475,5040,0,1
graph_31,5040,0,1
graph_876,5040,0,1
graph_680,5040,0,1
graph_681,5040,0,1
graph_877,5040,0,1
graph_295,5040,0,1
graph_294,5040,0,1
graph_79,5040,0,1
graph_78,5040,0,1
graph_169,5040,0,1
graph_168,5040,0,1
graph_937,5040,0,1
graph_936,5040,0,1
graph_753,5040,0,1
graph_535,5040,0,1
graph_534,5040,0,1
graph_752,5040,0,1
graph_207,5040,0,1
graph_206,5040,0,1
graph_365,5040,0,1
graph_103,5040,0,1
graph_102,5040,0,1
graph_364,5040,0,1
graph_13,5040,0,1
graph_457,5040,0,1
graph_631,5040,0,1
graph_630,5040,0,1
graph_12,5040,0,1
graph_456,5040,0,1
graph_81,5040,0,1
graph_855,5040,0,1
graph_4,5040,0,1
graph_5,5040,0,1
graph_80,5040,0,1
graph_854,5040,0,1
graph_739,5040,0,1
graph_738,5040,0,1
graph_191,5040,0,1
graph_190,5040,0,1
graph_678,5040,0,1
graph_679,5040,0,1
graph_914,5040,0,1
graph_584,5040,0,1
graph_915,5040,0,1
graph_585,2520,2520,2
graph_770,5040,0,1
graph_516,5040,0,1
graph_986,5040,0,1
graph_517,5040,0,1
graph_987,5040,0,1
graph_771,5040,0,1
graph_224,5040,0,1
graph_225,5040,0,1
graph_1030,5040,0,1
graph_1031,5040,0,1
graph_469,5040,0,1
graph_468,5040,0,1
graph_963,5040,0,1
graph_795,5040,0,1
graph_794,3780,1260,2
graph_962,5040,0,1
graph_561,5040,0,1
graph_707,5040,0,1
graph_706,5040,0,1
graph_560,5040,0,1
graph_253,5040,0,1
graph_252,5040,0,1
graph_174,5040,0,1
graph_312,5040,0,1
graph_313,5040,0,1
graph_175,5040,0,1
graph_646,5040,0,1
graph_64,5040,0,1
graph_420,5040,0,1
graph_65,5040,0,1
graph_421,5040,0,1
graph_647,5040,0,1
graph_288,5040,0,1
graph_289,5040,0,1
graph_822,5040,0,1
graph_823,5040,0,1
graph_528,5040,0,1
graph_529,5040,0,1
graph_380,5040,0,1
graph_381,5040,0,1
graph_816,5040,0,1
graph_486,5040,0,1
graph_817,5040,0,1
graph_487,5040,0,1
graph_140,5040,0,1
graph_326,5040,0,1
graph_327,5040,0,1
graph_141,5040,0,1
graph_672,5040,0,1
graph_414,5040,0,1
graph_50,5040,0,1
graph_884,5040,0,1
graph_415,5040,0,1
graph_51,5040,0,1
graph_885,5040,0,1
graph_673,5040,0,1
graph_555,5040,0,1
graph_733,2520,2520,2
graph_732,5040,0,1
graph_554,5040,0,1
graph_267,5040,0,1
graph_266,5040,0,1
graph_19,5040,0,1
graph_18,5040,0,1
graph_1004,5040,0,1
graph_1005,5040,0,1
graph_957,5040,0,1
graph_956,5040,0,1
graph_109,5040,0,1
graph_108,5040,0,1
graph_744,0,5040,3
graph_522,5040,0,1
graph_523,5040,0,1
graph_745,5040,0,1
graph_828,5040,0,1
graph_829,5040,0,1
graph_210,5040,0,1
graph_211,5040,0,1
graph_282,5040,0,1
graph_283,5040,0,1
graph_920,5040,0,1
graph_921,5040,0,1
graph_318,5040,0,1
graph_319,5040,0,1
graph_259,5040,0,1
graph_258,5040,0,1
graph_861,5040,0,1
graph_697,5040,0,1
graph_696,5040,0,1
graph_860,3780,1260,2
graph_351,5040,0,1
graph_137,5040,0,1
graph_136,5040,0,1
graph_350,5040,0,1
graph_969,5040,0,1
graph_968,5040,0,1
graph_463,5040,0,1
graph_27,5040,0,1
graph_605,5040,0,1
graph_604,5040,0,1
graph_462,5040,0,1
graph_26,5040,0,1
graph_3,5040,0,1
graph_852,5040,0,1
graph_86,5040,0,1
graph_853,5040,0,1
graph_87,5040,0,1
graph_2,5040,0,1
graph_558,5040,0,1
graph_559,5040,0,1
graph_196,3360,1680,2
graph_197,5040,0,1
graph_104,5040,0,1
graph_362,5040,0,1
graph_363,5040,0,1
graph_105,5040,0,1
graph_636,5040,0,1
graph_14,5040,0,1
graph_450,5040,0,1
graph_15,5040,0,1
graph_451,5040,0,1
graph_637,5040,0,1
graph_1009,5040,0,1
graph_1008,5040,0,1
graph_981,5040,0,1
graph_511,5040,0,1
graph_777,5040,0,1
graph_776,5040,0,1
graph_980,5040,0,1
graph_510,5040,0,1
graph_223,5040,0,1
graph_222,5040,0,1
graph_1040,5040,0,1
graph_1041,5040,0,1
graph_419,5040,0,1
graph_889,5040,0,1
graph_418,5040,0,1
graph_888,5040,0,1
graph_583,5040,0,1
graph_913,3360,1680,2
graph_582,5040,0,1
graph_912,5040,0,1
graph_700,5040,0,1
graph_566,5040,0,1
graph_567,5040,0,1
graph_701,5040,0,1
graph_254,5040,0,1
graph_255,5040,0,1
graph_1037,5040,0,1
graph_1036,5040,0,1
graph_608,5040,0,1
graph_609,5040,0,1
graph_792,5040,0,1
graph_964,5040,0,1
graph_965,5040,0,1
graph_793,5040,0,1
graph_825,5040,0,1
graph_824,5040,0,1
graph_749,5040,0,1
graph_748,5040,0,1
graph_387,5040,0,1
graph_386,5040,0,1
graph_315,5040,0,1
graph_173,5040,0,1
graph_172,5040,0,1
graph_314,5040,0,1
graph_63,5040,0,1
graph_427,5040,0,1
graph_641,5040,0,1
graph_640,5040,0,1
graph_62,5040,0,1
graph_426,5040,0,1
graph_321,5040,0,1
graph_147,5040,0,1
graph_146,5040,0,1
graph_320,5040,0,1
graph_919,5040,0,1
graph_589,5040,0,1
graph_918,5040,0,1
graph_588,5040,0,1
graph_883,5040,0,1
graph_413,5040,0,1
graph_57,5040,0,1
graph_675,5040,0,1
graph_674,5040,0,1
graph_882,3360,1680,2
graph_412,3780,1260,2
graph_56,5040,0,1
graph_229,5040,0,1
graph_228,5040,0,1
graph_481,5040,0,1
graph_811,5040,0,1
graph_480,5040,0,1
graph_810,5040,0,1
graph_1003,5040,0,1
graph_1002,3024,2016,2
graph_950,5040,0,1
graph_951,5040,0,1
graph_368,5040,0,1
graph_369,5040,0,1
graph_734,5040,0,1
graph_552,5040,0,1
graph_553,5040,0,1
graph_735,5040,0,1
graph_9,5040,0,1
graph_858,3780,1260,2
graph_859,5040,0,1
graph_8,5040,0,1
graph_260,5040,0,1
graph_261,5040,0,1
graph_69,5040,0,1
graph_68,5040,0,1
graph_285,5040,0,1
graph_284,5040,0,1
graph_927,5040,0,1
graph_926,0,5040,3
graph_179,5040,0,1
graph_178,5040,0,1
graph_525,5040,0,1
graph_743,5040,0,1
graph_742,5040,0,1
graph_524,5040,0,1
graph_217,5040,0,1
graph_216,5040,0,1
graph_130,5040,0,1
graph_356,5040,0,1
graph_357,5040,0,1
graph_131,5040,0,1
graph_798,2520,2520,2
graph_799,5040,0,1
graph_602,5040,0,1
graph_464,5040,0,1
graph_20,5040,0,1
graph_465,5040,0,1
graph_21,5040,0,1
graph_603,5040,0,1
graph_690,5040,0,1
graph_866,5040,0,1
graph_867,5040,0,1
graph_691,5040,0,1
graph_668,5040,0,1
graph_669,5040,0,1
graph_904,5040,0,1
graph_594,5040,0,1
graph_905,5040,0,1
graph_595,5040,0,1
graph_506,5040,0,1
graph_996,5040,0,1
graph_760,5040,0,1
graph_761,5040,0,1
graph_507,5040,0,1
graph_997,5040,0,1
graph_234,5040,0,1
graph_235,5040,0,1
graph_113,5040,0,1
graph_375,5040,0,1
graph_374,5040,0,1
graph_112,5040,0,1
graph_621,5040,0,1
graph_447,5040,0,1
graph_446,5040,0,1
graph_620,5040,0,1
graph_91,5040,0,1
graph_845,5040,0,1
graph_90,5040,0,1
graph_844,0,5040,3
graph_181,5040,0,1
graph_180,5040,0,1
graph_729,5040,0,1
graph_728,5040,0,1
graph_302,5040,0,1
graph_164,5040,0,1
graph_165,5040,0,1
graph_303,5040,0,1
graph_298,5040,0,1
graph_299,5040,0,1
graph_74,5040,0,1
graph_430,5040,0,1
graph_656,5040,0,1
graph_657,5040,0,1
graph_75,5040,0,1
graph_431,5040,0,1
graph_832,5040,0,1
graph_833,5040,0,1
