Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_10587,40320,0,1
graph_10588,40320,0,1
graph_10589,40320,0,1
graph_1059,40320,0,1
graph_10590,40320,0,1
graph_10591,40320,0,1
graph_10592,40320,0,1
graph_10593,40320,0,1
graph_10594,40320,0,1
graph_10595,40320,0,1
graph_10596,40320,0,1
graph_10597,40320,0,1
graph_10598,40320,0,1
graph_10599,40320,0,1
graph_106,40320,0,1
graph_1060,26880,13440,2
graph_10600,40320,0,1
graph_10601,40320,0,1
graph_10602,40320,0,1
graph_10603,40320,0,1
graph_10604,40320,0,1
graph_10605,0,40320,3
graph_10606,40320,0,1
graph_10607,40320,0,1
graph_10608,40320,0,1
graph_10609,40320,0,1
graph_1061,40320,0,1
graph_10610,40320,0,1
graph_10611,40320,0,1
graph_10612,40320,0,1
graph_10613,40320,0,1
graph_10614,40320,0,1
graph_10615,40320,0,1
graph_10616,40320,0,1
graph_10617,40320,0,1
graph_10618,40320,0,1
graph_10619,40320,0,1
graph_1062,33600,6720,2
graph_10620,40320,0,1
graph_10621,40320,0,1
graph_10622,40320,0,1
graph_10623,40320,0,1
graph_10624,40320,0,1
graph_10625,40320,0,1
graph_10626,40320,0,1
graph_10627,40320,0,1
graph_10628,40320,0,1
graph_10629,40320,0,1
graph_1063,40320,0,1
graph_10630,40320,0,1
graph_10631,40320,0,1
graph_10632,40320,0,1
graph_10633,40320,0,1
graph_10634,40320,0,1
graph_10635,40320,0,1
graph_10636,40320,0,1
graph_10637,40320,0,1
graph_10638,40320,0,1
graph_10639,40320,0,1
graph_1064,40320,0,1
graph_10640,40320,0,1
graph_10641,40320,0,1
graph_10642,40320,0,1
graph_10643,40320,0,1
graph_10644,13440,26880,2
graph_10645,26880,13440,2
graph_10646,26880,13440,2
graph_10647,40320,0,1
graph_10648,40320,0,1
graph_10649,40320,0,1
graph_1065,40320,0,1
graph_10650,40320,0,1
graph_10651,40320,0,1
graph_10652,40320,0,1
graph_10653,40320,0,1
graph_10654,40320,0,1
graph_10655,40320,0,1
graph_10656,40320,0,1
graph_10657,40320,0,1
graph_10658,40320,0,1
graph_10659,40320,0,1
graph_1066,40320,0,1
graph_10660,40320,0,1
graph_10661,40320,0,1
graph_10662,40320,0,1
graph_10663,40320,0,1
graph_10664,40320,0,1
graph_10665,40320,0,1
graph_10666,40320,0,1
graph_10667,40320,0,1
graph_10668,40320,0,1
graph_10669,40320,0,1
graph_1067,40320,0,1
graph_10670,40320,0,1
graph_10671,40320,0,1
graph_10672,40320,0,1
graph_10673,40320,0,1
graph_10674,40320,0,1
graph_10675,40320,0,1
graph_10676,40320,0,1
graph_10677,40320,0,1
graph_10678,40320,0,1
graph_10679,40320,0,1
graph_1068,40320,0,1
graph_10680,40320,0,1
graph_10681,40320,0,1
graph_10682,40320,0,1
graph_10683,40320,0,1
graph_10684,0,40320,3
graph_10685,40320,0,1
graph_10686,20160,20160,2
graph_10687,40320,0,1
graph_10688,40320,0,1
graph_10689,40320,0,1
graph_1069,40320,0,1
graph_10690,20160,20160,2
graph_10691,20160,20160,2
graph_10692,40320,0,1
graph_10693,40320,0,1
graph_10694,40320,0,1
graph_10695,20160,20160,2
graph_10696,40320,0,1
graph_10697,40320,0,1
graph_10698,40320,0,1
graph_10699,40320,0,1
graph_107,40320,0,1
graph_1070,40320,0,1
graph_10700,40320,0,1
graph_10701,40320,0,1
graph_10702,40320,0,1
graph_10703,40320,0,1
graph_10704,40320,0,1
graph_10705,40320,0,1
graph_10706,40320,0,1
graph_10707,40320,0,1
graph_10708,40320,0,1
graph_10709,40320,0,1
graph_1071,40320,0,1
graph_10710,40320,0,1
graph_10711,40320,0,1
graph_10712,40320,0,1
graph_10713,20160,20160,2
graph_10714,20160,20160,2
graph_10715,40320,0,1
graph_10716,40320,0,1
graph_10717,40320,0,1
graph_10718,40320,0,1
graph_10719,40320,0,1
graph_1072,40320,0,1
graph_10720,40320,0,1
graph_10721,40320,0,1
graph_10722,40320,0,1
graph_10723,40320,0,1
graph_10724,40320,0,1
graph_10725,40320,0,1
graph_10726,40320,0,1
graph_10727,40320,0,1
graph_10728,40320,0,1
graph_10729,20160,20160,2
graph_1073,40320,0,1
graph_10730,40320,0,1
graph_10731,40320,0,1
graph_10732,40320,0,1
graph_10733,40320,0,1
graph_10734,40320,0,1
graph_10735,40320,0,1
graph_10736,40320,0,1
graph_10737,40320,0,1
graph_10738,40320,0,1
graph_10739,40320,0,1
graph_1074,40320,0,1
graph_10740,40320,0,1
graph_10741,40320,0,1
graph_10742,40320,0,1
graph_10743,40320,0,1
graph_10744,40320,0,1
graph_10745,40320,0,1
graph_10746,40320,0,1
graph_10747,40320,0,1
graph_10748,40320,0,1
graph_10749,40320,0,1
graph_1075,40320,0,1
graph_10750,40320,0,1
graph_10751,40320,0,1
graph_10752,40320,0,1
graph_10753,40320,0,1
graph_10754,0,40320,3
graph_10755,40320,0,1
graph_10756,0,40320,3
graph_10757,40320,0,1
graph_10758,40320,0,1
graph_10759,40320,0,1
graph_1076,40320,0,1
graph_10760,40320,0,1
graph_10761,40320,0,1
graph_10762,0,40320,3
graph_10763,40320,0,1
graph_10764,40320,0,1
graph_10765,40320,0,1
graph_10766,40320,0,1
graph_10767,40320,0,1
graph_10768,40320,0,1
graph_10769,40320,0,1
graph_1077,40320,0,1
graph_10770,40320,0,1
graph_10771,40320,0,1
graph_10772,40320,0,1
graph_10773,40320,0,1
graph_10774,40320,0,1
graph_10775,40320,0,1
graph_10776,40320,0,1
graph_10777,40320,0,1
graph_10778,40320,0,1
graph_10779,40320,0,1
graph_1078,40320,0,1
graph_10780,40320,0,1
graph_10781,40320,0,1
graph_10782,40320,0,1
graph_10783,40320,0,1
graph_10784,40320,0,1
graph_10785,40320,0,1
graph_10786,0,40320,3
graph_10787,40320,0,1
graph_10788,40320,0,1
graph_10789,40320,0,1
graph_1079,40320,0,1
graph_10790,40320,0,1
graph_10791,40320,0,1
graph_10792,40320,0,1
graph_10793,40320,0,1
graph_10794,40320,0,1
graph_10795,40320,0,1
graph_10796,40320,0,1
graph_10797,40320,0,1
graph_10798,40320,0,1
graph_10799,40320,0,1
graph_108,40320,0,1
graph_1080,40320,0,1
graph_10800,40320,0,1
graph_10801,40320,0,1
graph_10802,40320,0,1
graph_10803,40320,0,1
graph_10804,40320,0,1
graph_10805,40320,0,1
graph_10806,40320,0,1
graph_10807,40320,0,1
graph_10808,40320,0,1
graph_10809,40320,0,1
graph_1081,40320,0,1
graph_10810,40320,0,1
graph_10811,40320,0,1
graph_10812,40320,0,1
graph_10813,40320,0,1
graph_10814,40320,0,1
