graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_524.edgelist,4,4
graph_525.edgelist,4,4
graph_526.edgelist,4,4
graph_527.edgelist,3,3
graph_528.edgelist,4,4
graph_529.edgelist,3,3
graph_53.edgelist,4,4
graph_530.edgelist,3,3
graph_531.edgelist,4,4
graph_532.edgelist,4,4
graph_533.edgelist,3,3
graph_534.edgelist,3,3
graph_535.edgelist,3,3
graph_536.edgelist,3,3
graph_537.edgelist,4,4
graph_538.edgelist,4,4
graph_539.edgelist,4,4
graph_54.edgelist,4,4
graph_540.edgelist,3,3
graph_541.edgelist,3,3
graph_542.edgelist,3,3
graph_543.edgelist,4,4
graph_544.edgelist,4,4
graph_545.edgelist,3,3
graph_546.edgelist,3,3
graph_547.edgelist,4,4
graph_548.edgelist,4,4
graph_549.edgelist,4,4
graph_55.edgelist,4,4
graph_550.edgelist,4,4
graph_551.edgelist,3,3
graph_552.edgelist,3,3
graph_553.edgelist,3,3
graph_554.edgelist,3,3
graph_555.edgelist,3,3
graph_556.edgelist,3,3
graph_557.edgelist,3,3
graph_558.edgelist,3,3
graph_559.edgelist,3,3
graph_56.edgelist,4,4
graph_560.edgelist,3,3
graph_561.edgelist,4,4
graph_562.edgelist,3,3
graph_563.edgelist,3,3
graph_564.edgelist,3,3
graph_565.edgelist,4,4
graph_566.edgelist,4,4
graph_567.edgelist,3,3
graph_568.edgelist,3,3
graph_569.edgelist,3,3
graph_57.edgelist,4,4
graph_570.edgelist,4,4
graph_571.edgelist,3,3
graph_572.edgelist,3,3
graph_573.edgelist,3,3
graph_574.edgelist,3,3
graph_575.edgelist,3,3
graph_576.edgelist,3,3
graph_577.edgelist,4,4
graph_578.edgelist,4,4
graph_579.edgelist,3,3
graph_58.edgelist,5,5
graph_580.edgelist,3,3
graph_581.edgelist,4,4
graph_582.edgelist,3,3
graph_583.edgelist,3,3
graph_584.edgelist,3,3
graph_585.edgelist,3,3
graph_586.edgelist,3,3
graph_587.edgelist,3,3
graph_588.edgelist,4,4
graph_589.edgelist,3,3
graph_59.edgelist,4,4
graph_590.edgelist,3,3
graph_591.edgelist,3,3
graph_592.edgelist,3,3
graph_593.edgelist,3,3
graph_594.edgelist,3,3
graph_595.edgelist,3,3
graph_596.edgelist,3,3
graph_597.edgelist,3,3
graph_598.edgelist,3,3
graph_599.edgelist,3,3
graph_6.edgelist,5,5
graph_60.edgelist,4,4
graph_600.edgelist,4,4
graph_601.edgelist,3,3
graph_602.edgelist,2,2
graph_603.edgelist,3,3
graph_604.edgelist,3,3
graph_605.edgelist,3,3
graph_606.edgelist,3,3
graph_607.edgelist,2,2
graph_608.edgelist,3,3
graph_609.edgelist,3,3
graph_61.edgelist,5,5
graph_610.edgelist,3,3
graph_611.edgelist,3,3
graph_612.edgelist,3,3
graph_613.edgelist,3,3
graph_614.edgelist,3,3
graph_615.edgelist,3,3
graph_616.edgelist,3,3
graph_617.edgelist,3,3
graph_618.edgelist,3,3
graph_619.edgelist,3,3
graph_62.edgelist,4,4
graph_620.edgelist,3,3
graph_621.edgelist,3,3
graph_622.edgelist,3,3
graph_623.edgelist,4,4
graph_624.edgelist,3,3
graph_625.edgelist,3,3
graph_626.edgelist,3,3
graph_627.edgelist,3,3
graph_628.edgelist,3,3
graph_629.edgelist,3,3
graph_63.edgelist,4,4
graph_630.edgelist,2,2
graph_631.edgelist,3,3
graph_632.edgelist,3,3
graph_633.edgelist,3,3
graph_634.edgelist,3,3
graph_635.edgelist,3,3
graph_636.edgelist,3,3
graph_637.edgelist,3,3
graph_638.edgelist,3,3
graph_639.edgelist,3,3
graph_64.edgelist,5,5
graph_640.edgelist,3,3
graph_641.edgelist,3,3
graph_642.edgelist,3,3
graph_643.edgelist,4,4
graph_644.edgelist,3,3
graph_645.edgelist,3,3
graph_646.edgelist,3,3
graph_647.edgelist,3,3
graph_648.edgelist,3,3
graph_649.edgelist,2,2
graph_65.edgelist,4,4
graph_650.edgelist,3,3
graph_651.edgelist,3,3
graph_652.edgelist,3,3
graph_653.edgelist,3,3
graph_654.edgelist,3,3
graph_655.edgelist,3,3
graph_656.edgelist,3,3
graph_657.edgelist,3,3
graph_658.edgelist,3,3
graph_659.edgelist,3,3
graph_66.edgelist,4,4
graph_660.edgelist,3,3
graph_661.edgelist,3,3
graph_662.edgelist,3,3
graph_663.edgelist,3,3
graph_664.edgelist,3,3
graph_665.edgelist,4,4
graph_666.edgelist,2,2
graph_667.edgelist,2,2
graph_668.edgelist,3,3
graph_669.edgelist,3,3
graph_67.edgelist,4,4
graph_670.edgelist,4,4
graph_671.edgelist,4,4
graph_672.edgelist,4,4
graph_673.edgelist,3,3
graph_674.edgelist,3,3
graph_675.edgelist,4,4
graph_676.edgelist,3,3
graph_677.edgelist,3,3
graph_678.edgelist,3,3
graph_679.edgelist,3,3
graph_68.edgelist,3,3
graph_680.edgelist,3,3
graph_681.edgelist,3,3
graph_682.edgelist,4,4
graph_683.edgelist,3,3
graph_684.edgelist,3,3
graph_685.edgelist,4,4
graph_686.edgelist,3,3
graph_687.edgelist,3,3
graph_688.edgelist,3,3
graph_689.edgelist,2,2
graph_69.edgelist,4,4
graph_690.edgelist,3,3
graph_691.edgelist,4,4
graph_692.edgelist,4,4
graph_693.edgelist,3,3
graph_694.edgelist,3,3
graph_695.edgelist,3,3
graph_696.edgelist,3,3
graph_697.edgelist,3,3
graph_698.edgelist,3,3
graph_699.edgelist,3,3
graph_7.edgelist,5,5
graph_70.edgelist,4,4
graph_700.edgelist,3,3
graph_701.edgelist,4,4
graph_702.edgelist,3,3
graph_703.edgelist,3,3
graph_704.edgelist,3,3
graph_705.edgelist,3,3
graph_706.edgelist,3,3
graph_707.edgelist,3,3
graph_708.edgelist,3,3
graph_709.edgelist,3,3
graph_71.edgelist,4,4
graph_710.edgelist,3,3
graph_711.edgelist,4,4
graph_712.edgelist,4,4
graph_713.edgelist,2,2
graph_714.edgelist,4,4
graph_715.edgelist,3,3
graph_716.edgelist,3,3
graph_717.edgelist,3,3
graph_718.edgelist,3,3
graph_719.edgelist,3,3
graph_72.edgelist,4,4
graph_720.edgelist,4,4
graph_721.edgelist,2,2
graph_722.edgelist,3,3
graph_723.edgelist,3,3
graph_724.edgelist,3,3
graph_725.edgelist,3,3
graph_726.edgelist,3,3
graph_727.edgelist,3,3
graph_728.edgelist,3,3
graph_729.edgelist,3,3
graph_73.edgelist,4,4
graph_730.edgelist,3,3
graph_731.edgelist,3,3
graph_732.edgelist,3,3
graph_733.edgelist,3,3
graph_734.edgelist,3,3
graph_735.edgelist,3,3
graph_736.edgelist,3,3
graph_737.edgelist,3,3
graph_738.edgelist,3,3
graph_739.edgelist,3,3
graph_74.edgelist,4,4
graph_740.edgelist,2,2
graph_741.edgelist,3,3
graph_742.edgelist,3,3
graph_743.edgelist,3,3
graph_744.edgelist,2,2
graph_745.edgelist,3,3
graph_746.edgelist,3,3
graph_747.edgelist,2,2
graph_748.edgelist,3,3
graph_749.edgelist,3,3
graph_75.edgelist,3,3
graph_750.edgelist,3,3
graph_751.edgelist,3,3
