Running job on gpu-3-01
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
modelTrain_prob.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(MODEL_SAVE_PATH))
Warning: JSON file 'mis_results_grouped_v3/nodes_80_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_85_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_80percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_85percent.json' does not exist. Skipping.
Total JSON files found: 251
Total edgelist directories found: 251
Total graphs in dataset: 39900
Train Dataset Size: 31920
Validation Dataset Size: 7980

Calculating baseline MAE (predicting 0.5 for every node):
Baseline Training MAE: 0.4161
Baseline Validation MAE: 0.4170
Epoch 098 | Train Loss: 0.3432 | Validation Loss: 0.3423 | Validation MAE: 0.1356
Epoch 099 | Train Loss: 0.3431 | Validation Loss: 0.3418 | Validation MAE: 0.1421
Epoch 100 | Train Loss: 0.3431 | Validation Loss: 0.3413 | Validation MAE: 0.1378
Epoch 101 | Train Loss: 0.3432 | Validation Loss: 0.3414 | Validation MAE: 0.1370
Epoch 102 | Train Loss: 0.3428 | Validation Loss: 0.3476 | Validation MAE: 0.1528
Epoch 103 | Train Loss: 0.3428 | Validation Loss: 0.3471 | Validation MAE: 0.1520
Epoch 104 | Train Loss: 0.3428 | Validation Loss: 0.3419 | Validation MAE: 0.1428
Epoch 105 | Train Loss: 0.3430 | Validation Loss: 0.3418 | Validation MAE: 0.1427
Epoch 106 | Train Loss: 0.3423 | Validation Loss: 0.3417 | Validation MAE: 0.1352
Epoch 107 | Train Loss: 0.3426 | Validation Loss: 0.3411 | Validation MAE: 0.1369
Epoch 108 | Train Loss: 0.3425 | Validation Loss: 0.3423 | Validation MAE: 0.1347
Epoch 109 | Train Loss: 0.3426 | Validation Loss: 0.3457 | Validation MAE: 0.1320
Epoch 110 | Train Loss: 0.3423 | Validation Loss: 0.3414 | Validation MAE: 0.1420
Epoch 111 | Train Loss: 0.3422 | Validation Loss: 0.3408 | Validation MAE: 0.1381
Epoch 112 | Train Loss: 0.3426 | Validation Loss: 0.3415 | Validation MAE: 0.1351
Epoch 113 | Train Loss: 0.3424 | Validation Loss: 0.3418 | Validation MAE: 0.1432
Epoch 114 | Train Loss: 0.3423 | Validation Loss: 0.3406 | Validation MAE: 0.1382
Epoch 115 | Train Loss: 0.3427 | Validation Loss: 0.3411 | Validation MAE: 0.1362
Epoch 116 | Train Loss: 0.3420 | Validation Loss: 0.3406 | Validation MAE: 0.1390
Epoch 117 | Train Loss: 0.3421 | Validation Loss: 0.3422 | Validation MAE: 0.1337
Epoch 118 | Train Loss: 0.3424 | Validation Loss: 0.3406 | Validation MAE: 0.1372
Epoch 119 | Train Loss: 0.3420 | Validation Loss: 0.3406 | Validation MAE: 0.1379
Epoch 120 | Train Loss: 0.3419 | Validation Loss: 0.3407 | Validation MAE: 0.1396
Epoch 121 | Train Loss: 0.3422 | Validation Loss: 0.3408 | Validation MAE: 0.1361
Epoch 122 | Train Loss: 0.3419 | Validation Loss: 0.3404 | Validation MAE: 0.1389
Epoch 123 | Train Loss: 0.3420 | Validation Loss: 0.3405 | Validation MAE: 0.1392
Epoch 124 | Train Loss: 0.3419 | Validation Loss: 0.3412 | Validation MAE: 0.1420
Epoch 125 | Train Loss: 0.3420 | Validation Loss: 0.3403 | Validation MAE: 0.1382
Epoch 126 | Train Loss: 0.3419 | Validation Loss: 0.3403 | Validation MAE: 0.1384
Epoch 127 | Train Loss: 0.3418 | Validation Loss: 0.3433 | Validation MAE: 0.1332
Epoch 128 | Train Loss: 0.3419 | Validation Loss: 0.3403 | Validation MAE: 0.1379
Epoch 129 | Train Loss: 0.3416 | Validation Loss: 0.3473 | Validation MAE: 0.1314
Epoch 130 | Train Loss: 0.3420 | Validation Loss: 0.3412 | Validation MAE: 0.1345
Epoch 131 | Train Loss: 0.3418 | Validation Loss: 0.3450 | Validation MAE: 0.1314
Epoch 132 | Train Loss: 0.3420 | Validation Loss: 0.3404 | Validation MAE: 0.1393
Epoch 133 | Train Loss: 0.3418 | Validation Loss: 0.3434 | Validation MAE: 0.1470
Epoch 134 | Train Loss: 0.3414 | Validation Loss: 0.3403 | Validation MAE: 0.1397
Epoch 135 | Train Loss: 0.3417 | Validation Loss: 0.3418 | Validation MAE: 0.1335
